标题：〖求助〗山东编导生，统考过了，文化课522能上上大吗	链接：http://tieba.baidu.com/p/5993608318	创建时间：2018-12	作者：橘生淮南	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：3	
标题：校园卡绑定微信支付宝后可以直接用微信or支付宝在食堂消费吗	链接：http://tieba.baidu.com/p/5993915118	创建时间：2018-12	作者：帝黇枯啸...	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：6	
标题：我想找到你，和你说一声新年快乐。	链接：http://tieba.baidu.com/p/5994637908	创建时间：1-1	作者：BleakCoder	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：0	
标题：有理学院应用化学专业的人吗？	链接：http://tieba.baidu.com/p/5994611134	创建时间：1-1	作者：我和我的...	发帖图片地址:：没图片	最后的回复时间：1-1	回复数量：1	
标题：现有上海大学高分子化学与物理，三门专业课资料，需付费，有需要	链接：http://tieba.baidu.com/p/5994138870	创建时间：2018-12	作者：溢筠	发帖图片地址:：没图片	最后的回复时间：12-31	回复数量：1	
标题：有没有在读研的新闻传播的学长学姐啊，想了解一下上海大学的新闻	链接：http://tieba.baidu.com/p/5993644929	创建时间：2018-12	作者：十里风亭	发帖图片地址:：没图片	最后的回复时间：12-31	回复数量：3	
标题：刚考完研，现可提供上海大学材料类专业课全部资料，材料科学基础	链接：http://tieba.baidu.com/p/5990170738	创建时间：2018-12	作者：五百次回...	发帖图片地址:：没图片	最后的回复时间：12-31	回复数量：4	
标题：想建立上海大学区块链社群，有兴趣的同学可以加入哈	链接：http://tieba.baidu.com/p/5892883281	创建时间：2018-09	作者：爱_忘了回念	发帖图片地址:：没图片	最后的回复时间：12-31	回复数量：1	
标题：请问有笔译的学长学姐么	链接：http://tieba.baidu.com/p/5984577397	创建时间：2018-12	作者：ZHY19990918042	发帖图片地址:：没图片	最后的回复时间：12-31	回复数量：1	
标题：有没有翻译硕士的学姐学长想咨询下考研的事情	链接：http://tieba.baidu.com/p/5975812405	创建时间：2018-12	作者：平凡hz666	发帖图片地址:：没图片	最后的回复时间：12-31	回复数量：2	
标题：2018刚刚考上上海大学金融专硕	链接：http://tieba.baidu.com/p/5539303981	创建时间：2018-02	作者：nice好心的学长	发帖图片地址:：没图片	最后的回复时间：12-31	回复数量：90	
标题：寒假兼职	链接：http://tieba.baidu.com/p/5989632675	创建时间：2018-12	作者：吃兔子的...	发帖图片地址:：没图片	最后的回复时间：12-31	回复数量：2	
